BOQU  Bombacopsis quinata
BOMA  Bombax malabaricum
BUGR  Bursera graveolens
BUSI  Bursera simaruba
BUSE  Buxus sempervirens
CASP  Callitris Ventenat
CACO  Callitris columellaris
CAIN  Callitris intratropica
CAMA  Callitris macleayana
CAPR  Callitris preissii
CARO  Callitris robusta
CADE  Calocedrus decurrens
CABU  Canthium burttii
CASC  Capparis scabrida
CAPC  Carapa procera
CPBE  Carpinus betulus
CYSP  Carya
CYCO  Carya cordoformis
CYGL  Carya glabra
CYIL  Carya illinoensis
CYOV  Carya ovata
CYTO  Carya tomentosa
CAGL  Caryocar glabrum
CACR  Castanea crenata
CADN  Castanea dentata
CASA  Castanea sativa
CSLI  Casuarina litoralis
CTSP  Catalpa speciosa
CNCR  Ceanothus crassifolius
CESP  Cedrela
CEAN  Cedrela angustifolia
CEFI  Cedrela fissilis
CELI  Cedrela lilloi
CEOD  Cedrela odorata
CETO  Cedrela toona
CDSP  Cedrus
CDAT  Cedrus atlantica
CDBR  Cedrus brevifolia
CDDE  Cedrus deodara
CDLI  Cedrus libani
CLSP  Celtis
CLAU  Celtis australis
CLCA  Celtis caucasica
CLLA  Celtis laevigata
CLOC  Celtis occidentalis
CLRE  Celtis reticulata
CEOC  Cephalanthus occidentalis
CEMI  Cercidium microphyllum
CRSP  Cercocarpus Kunth
CRBE  Cercocarpus betuloides
CRLE  Cercocarpus ledifolius
CRMO  Cercocarpus montanus
CHFO  Chamaecyparis formosensis
CHNO  Chamaecyparis nootkatensis
CHOB  Chamaecyparis obtusa
CHPI  Chamaecyparis pisifera
CHTH  Chamaecyparis thyoides
CLEX  Chlorophora excelsa
CHSP  Chorisia speciosa
CIFR  Citharexylum fruticosum
COCO  Copaifera coleosperma
COAL  Cordia alliodora
COAP  Cordia apurensis
COBI  Cordia bicolor
COEL  Cordia elaeagnoides
COTR  Cordia trichotoma
COSP  Cornus
COFL  Cornus florida
COSA  Cornus sanguinea
COAV  Corylus avellana
COSI  Corylus sieboldiana
CTCO  Cotinus coggygria
CTSP  Cotoneaster
CRAZ  Crataegus azarolus
CRMO  Crataegus monogyna
CMJA  Cryptomeria japonica
CUAZ  Cupressus arizonica
CUAT  Cupressus atlantica
CUDU  Cupressus dupreziana
CUGI  Cupressus gigantea
CUGL  Cupressus glabra
CULU  Cupressus lusitanica
CUSE  Cupressus sempervirens
CYRA  Cyrilla racemiflora
DADA  Dacrycarpus dacrydioides
DABD  Dacrydium bidwillii
DABI  Dacrydium biforme
DACO  Dacrydium colensoi
DACU  Dacrydium cupressinum
DAFR  Dacrydium franklinii
DIGU  Dicorynia guianensis
DSVI  Diospyros virginiana
DITO  Discaria toumatou
DITR  Discaria trinervis
DRLA  Dracophyllum latifolium
DRWI  Drimys winteri
DUVI  Duschenkia viridis
DYMA  Dysoxylum malabaricum
ELGL  Elaeoluma glabrascens
EMRU  Empetrum rubrum
ENCA  Enkianthus campanulatus
ENAN  Entandrophragma angolense
ENCA  Entandrophragma candollei
ENCY  Entandrophragma cylindricum
ENUT  Entandrophragma utile
EUCA  Eucalyptus camaldulensis
EUDE  Eucalyptus delegatensis
EUGL  Eucalyptus globulus
EUMA  Eucalyptus marginata
EUMI  Eucalyptus miniata
EUNE  Eucalyptus nesophila
EUOR  Eucalyptus oreades
EUPA  Eucalyptus pauciflora
EUST  Eucalyptus stellulata
EUTE  Eucalyptus tetradonta
EUVI  Eucalyptus viminalis
EUCO  Eucryphia cordifolia
EUJA  Eugenia jambolana
EXCU  Exocarpus cuppressiforme
FASP  Fagus
FAGR  Fagus grandifolia
FAOR  Fagus orientalis
FASY  Fagus sylvatica
FCSP  Ficus
FICU  Fitzroya cupressoides
FRSP  Fraxinus
FRAM  Fraxinus americana
FRCA  Fraxinus caroliniana
FACR  Fagus crenata
FREX  Fraxinus excelsior
FRMA  Fraxinus mandshurica
FRNI  Fraxinus nigra
FRPE  Fraxinus pennsylvanica
FRSP  Fraxinus spaethiana
FRVE  Fraxinus velutina
GEAV  Gevuina avellana
GIBI  Gingko biloba
GLTR  Gleditsia triacanthos
GMAR  Gmelina arborea
GOLA  Gordonia lasianthus
GOGL  Goupia glabra
GRVI  Grevillea victoriae
GUCE  Guarea cedrata
HABD  Halocarpus bidwillii
HABI  Halocarpus biformis
HAKI  Halocarpus kirkii
HAVI  Hamamelis virginiana
HEAN  Hedycaria angustifolia
HEAR  Heteromeles arbutifolia
HEBR  Hevea brasiliensis 
ILAQ  Ilex aquifolium
ILCA  Ilex cassine
ILCO  Ilex coriacea
ILGL  Ilex glabra
ILIN  Ilex inundata
ILOP  Ilex opaca
JACO  Jacaranda copaia
JGAU  Juglans australis
JGCI  Juglans cinerea
JGNI  Juglans nigra
JGRE  Juglans regia
JUSP  Juniperus
JUCH  Juniperus chinensis
JUCO  Juniperus communis
JUDE  Juniperus deppeana
JUDR  Juniperus drupacea
JUEX  Juniperus excelsa
JUFO  Juniperus foetidissima
JUMA  Juniperus macropoda
JUMO  Juniperus monosperma
JUOC  Juniperus occidentalis
JUOS  Juniperus osteosperma
JUOX  Juniperus oxycedrus
JUPH  Juniperus phoenicea
JUPI  Juniperus pinchotii
JUPC  Juniperus procera
JUPR  Juniperus przewalskii
JURE  Juniperus recurva
JUSC  Juniperus scopulorum
JUSM  Juniperus semiglobosa
JUSE  Juniperus seravschanica
JUTH  Juniperus thurifera
JUTU  Juniperus turkestanica
JUVI  Juniperus virginiana
KHGR  Khaya grandifolia
KRDR  Krenevaja drevesina
KUER  Kunzea ericoides
LBGL  Labatia glomerata
LBAN  Laburnum anagyroides
LGCO  Lagarostrobus colensoi
LGFR  Lagarostrobus franklinii
LSFL  Lagerstroemia flos
LSPA  Lagerstroemia parviflora
LSLA  Lagerstroemia lanceolata
LASP  Larix
LADE  Larix decidua
LAGM  Larix gmelinii
LAGR  Larix griffithiana
LAJA  Larix japonica
LALA  Larix laricina
LALY  Larix lyalli
LAOC  Larix occidentalis
LAPO  Larix potanini
LASI  Larix sibirica
LAPH  Laurelia philippiana
LASE  Laurelia sempervirens
LAHU  Laxopterigium huasango
LECO  Lecythis corrugata
LEIN  Lepidothamnus intermedius
LEFL  Leptospermum flavescens
LESC  Leptospermum scoparium
LISP  Libocedrus
LIBI  Libocedrus bidwillii
LIPL  Libocedrus plumosa
LGVU  Ligustrum vulgare
LIST  Liquidambar styraciflua
LITU  Liriodendron tulipifera
LOFR  Lomatia fraseri
LOHI  Lomatia hitsuta
LOXY  Lonicera xylosteum
LOTR  Lovoa trichilioides
MAAC  Magnolia accuminata
MAGR  Magnolia grandiflora
MAVI  Magnolia virginiana
MASY  Malus sylvestris
MABI  Manilkara bidentata
MICH  Michelia champaca
MINI  Michelia niligirica
MOCO  Moronobea coccinea
MOAL  Morus alba
MORU  Morus rubra
MYCE  Myrica cerifera
MYGA  Myrica gale
NEAM  Nectandra amazonum
NTLO  Notelaea longifolia
NOAL  Nothofagus alpina
NOAN  Nothofagus antarctica
NOBE  Nothofagus betuloides
NOCU  Nothofagus cunninghamii
NODO  Nothofagus dombeyi
NOFU  Nothofagus fusca
NOGU  Nothofagus gunnii
NOME  Nothofagus menziesii
NONE  Nothofagus nervosa
NONI  Nothofagus nitida
NOOB  Nothofagus obliqua
NOPU  Nothofagus pumilio
NOSO  Nothofagus solandri
NYOG  Nyssa ogechee
NYSY  Nyssa sylvatica
OCUS  Ocotea usambarensis
OSCA  Ostrya carpinifolia
OXAR  Oxydendrum arboreum
PARI  Parapiptadenia rigida
PAAU  Parkia auriculata
PATO  Paulownia tomentosa
PECA  Peronema canescens
PEBO  Persea borbonia
PELI  Persea lingue
PELN  Petrophile linearis
PBPO  Phoebe porfiria
PHAL  Phyllocladus alpinus
PHAS  Phyllocladus aspleniifolius
PHGL  Phyllocladus glaucus
PHTR  Phyllocladus trichomanoides
PCSP  Picea
PCAB  Picea abies
PCAS  Picea asperata
PCBA  Picea balfouriana
PCBR  Picea brachytyla
PCCA  Picea cajanensis
PCCH  Picea chihuahuana
PCEN  Picea engelmannii
PCGL  Picea glauca
PCGN  Picea glehnii
PCJE  Picea jezoensis
PCLI  Picea likiangensis
PCMA  Picea mariana
PCOM  Picea omorika
PCOR  Picea orientalis
PCPU  Picea pungens
PCPR  Picea purpurea
PCRU  Picea rubens
PCSH  Picea shrenkiana
PCSI  Picea sitchensis
PCSM  Picea smithiana
PCTI  Picea tienschanica
PLUV  Pilgerodendron uviferum
PISP  Pinus
PIAL  Pinus albicaulis
PIAR  Pinus aristata
PIAM  Pinus armandii
PIBA  Pinus balfouriana
PIBN  Pinus banksiana
PIBR  Pinus brutia
PIBU  Pinus bungeana
PICN  Pinus canariensis
PICA  Pinus caribaea
PICE  Pinus cembra
PICM  Pinus cembroides
PICH  Pinus chihuahuana
PICO  Pinus contorta
PICL  Pinus coulteri
PIDN  Pinus densata
PIDE  Pinus densiflora
PIEC  Pinus echinata
PIED  Pinus edulis
PIEL  Pinus elliottii
PIEN  Pinus engelmannii
PIFL  Pinus flexilis
PIGE  Pinus gerardiana
PIHA  Pinus halepensis
PIHE  Pinus heldreichii
PIJE  Pinus jeffreyi
PIKE  Pinus kesiya
PIKO  Pinus koraiensis
PILG  Pinus lagunae
PILA  Pinus lambertiana
PILE  Pinus leucodermis
PILO  Pinus longaeva
PIMA  Pinus massoniana
PIMK  Pinus merkusii
PIME  Pinus mesogeensis
PIMO  Pinus monophylla
PIMZ  Pinus montezumae
PIMC  Pinus monticola
PIMU  Pinus mughus
PIMG  Pinus mugo
PIMR  Pinus muricata
PINI  Pinus nigra
PIOC  Pinus occidentalis
PIOO  Pinus oocarpa
PIPA  Pinus palustris
PIPT  Pinus patula
PIPE  Pinus peuce
PIPI  Pinus pinaster
PIPN  Pinus pinea
PIPO  Pinus ponderosa
PIPM  Pinus pumila
PIPU  Pinus pungens
PIQU  Pinus quadrifolia
PIRA  Pinus radiata
PIRE  Pinus resinosa
PIRI  Pinus rigida
PIRO  Pinus roxburghii
PISI  Pinus sibirica
PISF  Pinus strobiformis
PIST  Pinus strobus
PISY  Pinus sylvestris
PITB  Pinus tabulaeformis
PITA  Pinus taeda
PITH  Pinus thunbergii
PITO  Pinus torreyana
PIUN  Pinus uncinata
PIVI  Pinus virginiana
PIWA  Pinus wallichiana
PSGR  Pisonia grandis
PTSP  Pistacia
PTAT  Pistacia atlantica
PTKH  Pistacia khinjuk
PTPA  Pistacia palaestina
PTVE  Pistacia vera
PLAC  Platanus acerifolia
PLOC  Platanus occidentalis
PLOR  Platanus orientalis
PLIN  Platonia insignis
PLOR  Platyeladus orientalis
PYSA  Polyscias sambucifolius
POSP  Podocarpus
POFA  Podocarpus falcatus
POHA  Podocarpus hallii
POLA  Podocarpus lawrencei
PONE  Podocarpus neriifolius
PONI  Podocarpus nivalis
PONU  Podocarpus nubigensus
POPA  Podocarpus parlatorei
POTO  Podocarpus totara
PPSP  Populus
PPAL  Populus alba
PPAN  Populus angustifolia
PPBA  Populus balsamifera
PPDE  Populus deltoides
PPEU  Populus euphratica
PPFA  Populus fastigiata
PPFR  Populus fremontii
PPGR  Populus grandidentata
PPNI  Populus nigra
PPSI  Populus sieboldii
PPTR  Populus tremuloides
PPTC  Populus trichocarpa
PRMX  Premna maxima
PROS  Prosopis
PRFL  Prosopis flexuosa
PRGL  Prosopis glandulosa
PMAN  Prumnopitys andina
PMFE  Prumnopitys ferruginea
PMTA  Prumnopitys taxifolia
PNAM  Prunus americana
PNAV  Prunus avium
PNIL  Prunus ilicifolia
PNMA  Prunus mahaleb
PNPE  Prunus pennsylvanica
PNSE  Prunus serotina
PNSP  Prunus spinosa
PSMU  Pseudobombax munguba
PSSE  Pseudobombax septenatum
PSJA  Pseudotsuga japonica
PSMA  Pseudotsuga macrocarpa
PSME  Pseudotsuga menziesii
PSAX  Pseudowintera axillaris
PSCO  Pseudowintera colorata
PSXA  Pseudoxandra polyphleba
PTAN  Pterocarpus angolensis
PTVE  Pterocarpus vernalis
PTRH  Pterocarya rhoifolia
PTPA  Pteronia pallens
PUSP  Purshia
PUTR  Purshia tridentata
QUSP  Quercus
QUAC  Quercus acutissima
QUAF  Quercus afares
QUAL  Quercus alba
QUBI  Quercus bicolor
QUBO  Quercus boissieri
QUBR  Quercus brantii
QUCL  Quercus calliprinos
QUCA  Quercus canariensis
QUCE  Quercus cerris
QUCO  Quercus coccinea
QUCP  Quercus copeyensis
QUCR  Quercus costaricensis
QUDE  Quercus dentata
QUDG  Quercus douglasii
QUDS  Quercus dschoruchensis
QUEL  Quercus ellipsoidalis
QUEM  Quercus emoryi
QUEN  Quercus engelmannii
QUFG  Quercus faginea
QUFA  Quercus falcata
QUFR  Quercus frainetto
QUGA  Quercus gambelii
QUGY  Quercus garryana
QUGR  Quercus grisea
QUHA  Quercus hartwissiana
QUIL  Quercus ilex
QUIT  Quercus ithaburensis
QUKE  Quercus kelloggii
QULA  Quercus laurifolia
QULO  Quercus lobata
QULU  Quercus lusitanica
QULY  Quercus lyrata
QUMA  Quercus macrocarpa
QUMC  Quercus macrolepis
QUML  Quercus marilandica
QUMI  Quercus michauxii
QUMO  Quercus mongolica
QUGS  Quercus mongolica
QUMU  Quercus muehlenbergii
QUNI  Quercus nigra
QUPA  Quercus palustris
QUPE  Quercus petraea
QUPO  Quercus pontica
QUPR  Quercus prinus
QUPU  Quercus pubescens
QUPY  Quercus pyrenaica
QURO  Quercus robur
QURU  Quercus rubra
QUSH  Quercus shumardii
QUST  Quercus stellata
QUSU  Quercus suber
QUVE  Quercus velutina
QUAC  Quintinia acutifolia
RAGU  Rapanea guianensis
RESP  Recordoxylon speciosum
RHCA  Rhamnus caroliniana
RHCT  Rhamnus cathartica
RHCR  Rhamnus crocea
RHOV  Rhus ovata
RONE  Robinia neomexicana
ROPS  Robinia pseudoacacia
SBPI  Sabina pingu
SBRE  Sabina recurva
SBSA  Sabina saltuaria
SBTI  Sabina tibetica
SBWA  Sabina wallichiana
SASP  Salix
SAAC  Salix acutifolia
SAAL  Salix alba
SAAM  Salix amygdalina
SAAD  Salix amygdaloides
SAAR  Salix arbusculoides
SAAT  Salix arctica
SABA  Salix babylonica
SACN  Salix candida
SACA  Salix caprea
SACR  Salix caroliniana
SADI  Salix discolor
SAEL  Salix elaeagnos
SAEX  Salix exigua
SAGL  Salix glauca
SALA  Salix lanata
SALS  Salix lasiolepis
SAMY  Salix myrsinifolia
SAPH  Salix phylicifolia
SAPL  Salix planifolia
SAPU  Salix purpurea
SAVI  Salix viminalis
SNAL  Santalum album
SSAL  Sassafras albinum
SSAL  Sapium styllare
SACO  Saxegothaea conspicua
SCTR  Schleichera trijuga
SCMI  Schleronema micranthum
SCVE  Sciadopitys verticillata
SESE  Sequoia sempervirens
SEGI  Sequoiadendron giganteum
SHRO  Shorea robusta
SIAM  Simarouba amara
SOAM  Sorbus americana
SOAR  Sorbus aria
SOAU  Sorbus aucuparia
SOTE  Sorbus torminalis
SODU  Sorocea duckei
STPS  Stuartia pseudocamelliad
SWLA  Swartzia laevicarpa
SWMC  Swietenia macrophylla
SWMA  Swietenia mahagoni
SYGL  Symphonia globulifera
TABA  Tabebuia barbata
TMAP  Tamarix aphylla
TMCH  Tamarix chinensis
TMJO  Tamarix jordanis
TPGU  Tapirira guianensis
TMXE  Tasmannia xerophila
TAAS  Taxodium ascendens
TADI  Taxodium distichum
TAMU  Taxodium mucronatum
TABA  Taxus baccata
TACU  Taxus cuspidata
TEGR  Tectona grandis
TEBR  Terminalia brownii
TEGU  Terminalia guianensis
TETO  Terminalia tomentosa
TEAR  Tetraclinis articulata
THSP  Thuja
THOC  Thuja occidentalis
THOR  Thuja orientalis
THPL  Thuja plicata
THST  Thuja standishii
THDO  Thujopsis dolabrata
THHO  Thujopsis dolabrata
TISP  Tilia
TIAM  Tilia americana
TICO  Tilia cordata
TIPL  Tilia platyphyllos
TOCA  Torreya californica
TRSC  Triplochiton schleroxylon
TRCO  Tristania conferta
TSSP  Tsuga
TSCA  Tsuga canadensis
TSCR  Tsuga caroliniana
TSCH  Tsuga chinensis
TSDI  Tsuga diversifolia
TSDU  Tsuga dumosa
TSHE  Tsuga heterophylla
TSME  Tsuga mertensiana
TSSI  Tsuga sieboldii
ULSP  Ulmus
ULGL  Ulmus glabra
ULLA  Ulmus laevis
ULMI  Ulmus minor
ULPU  Ulmus pumila
ULRU  Ulmus rubra
VBLA  Vibernum lantana
VIME  Virola melinonii
VIKE  Vitex keniensis
VOAM  Vouacapoua americana
WERA  Weinmannia racemosa
WETR  Weinmannia trichosperma
WICE  Widdringtonia cedarbergensis
ZISP  Ziziphus spina
ZYSP  Zygophyllum
ZYDU  Zygophyllum dumosum
